"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2337","Create course","LMS system","Wed Jan 07 14:44:04 UTC 2026","passed","Wed Jan 07 14:44:06 UTC 2026","Courses","Courses","",""
"","1687","User login with wrong email or password","LMS system","Wed Jan 07 14:43:57 UTC 2026","passed","Wed Jan 07 14:43:59 UTC 2026","Authorization","Authentication","",""
"","1805","Registration with correct email, username and password","LMS system","Wed Jan 07 14:44:00 UTC 2026","passed","Wed Jan 07 14:44:02 UTC 2026","Registration","Authentication","",""
"","1908","User login with wrong email or password","LMS system","Wed Jan 07 14:43:55 UTC 2026","passed","Wed Jan 07 14:43:57 UTC 2026","Authorization","Authentication","",""
"","1680","Navigation from login page to registration page","LMS system","Wed Jan 07 14:43:59 UTC 2026","passed","Wed Jan 07 14:44:01 UTC 2026","Authorization","Authentication","",""
"","2849","Edit course","LMS system","Wed Jan 07 14:44:04 UTC 2026","passed","Wed Jan 07 14:44:07 UTC 2026","Courses","Courses","",""
"","1909","User login with wrong email or password","LMS system","Wed Jan 07 14:43:55 UTC 2026","passed","Wed Jan 07 14:43:57 UTC 2026","Authorization","Authentication","",""
"","1569","Check displaying of empty courses list","LMS system","Wed Jan 07 14:44:02 UTC 2026","passed","Wed Jan 07 14:44:04 UTC 2026","Courses","Courses","",""
"","1754","Check displaying of dashboard page","LMS system","Wed Jan 07 14:44:07 UTC 2026","passed","Wed Jan 07 14:44:08 UTC 2026","Dashboard","Dashboard","",""
"","3125","User login with correct email and password","LMS system","Wed Jan 07 14:43:57 UTC 2026","passed","Wed Jan 07 14:44:00 UTC 2026","Authorization","Authentication","",""
